No,Metodo-1,Metodo-2,Metodo-3
1,27.86,30.82,32.5
2,28.01,31.33,29.57
3,28.93,33.12,29.57
4,30.85,30.87,23.71
5,23.61,27.48,35.43
6,31.24,28.07,32.5
7,32.13,25.92,26.64
8,29.48,36.11,26.64
9,30.85,28.31,23.71
10,27.81,27.16,29.57
11,29.49,27.86,29.57
12,32.54,31.47,29.57
13,27.53,30.45,32.5
14,31.57,27.66,29.57
15,25.62,22.19,32.5
16,33.41,32.23,38.36
17,27.42,25.96,29.57
18,30.81,26.31,32.5
19,24.74,31.53,29.57
20,26.65,34.51,29.57
21,32.67,32.9,26.64
22,29.41,29.49,26.64
23,30.97,31.63,26.64
24,33.43,23.68,26.64
25,30.2,38.69,32.5
26,30.56,31.39,32.5
27,35.36,34.34,26.64
28,29.15,26.04,26.64
29,28.81,25.68,32.5
30,32.02,30.04,26.64
